record_time_ns,height_bin_index,height_label_m,odometry_z_m,odometry_stamp_ns,leg_stamp_ns,leg_meas_stamp_ns,leg_sequence,waist_stamp_ns,waist_meas_stamp_ns,waist_sequence,arm_stamp_ns,arm_meas_stamp_ns,arm_sequence,leg__left_ankle_pitch_joint_position,leg__left_ankle_roll_joint_position,leg__left_hip_pitch_joint_position,leg__left_hip_roll_joint_position,leg__left_hip_yaw_joint_position,leg__left_knee_joint_position,leg__right_ankle_pitch_joint_position,leg__right_ankle_roll_joint_position,leg__right_hip_pitch_joint_position,leg__right_hip_roll_joint_position,leg__right_hip_yaw_joint_position,leg__right_knee_joint_position,waist__waist_pitch_joint_position,waist__waist_roll_joint_position,waist__waist_yaw_joint_position,arm__left_elbow_joint_position,arm__left_shoulder_pitch_joint_position,arm__left_shoulder_roll_joint_position,arm__left_shoulder_yaw_joint_position,arm__left_wrist_pitch_joint_position,arm__left_wrist_roll_joint_position,arm__left_wrist_yaw_joint_position,arm__right_elbow_joint_position,arm__right_shoulder_pitch_joint_position,arm__right_shoulder_roll_joint_position,arm__right_shoulder_yaw_joint_position,arm__right_wrist_pitch_joint_position,arm__right_wrist_roll_joint_position,arm__right_wrist_yaw_joint_position
1786003406019773329,81,0.81,0.8145412726379755,1786003406051082134,1786003406053442062,0,1213465,1786003406051504229,0,1213465,1786003406051504229,0,1213462,-0.5622916221618652,-0.001438140869140625,-0.7551870346069336,0.007765293121337891,-0.025406360626220703,1.273665428161621,-0.5626754760742188,0.025406360626220703,-0.7170300483703613,-0.03020000457763672,-0.029624462127685547,1.2422194480895996,0.23826435243609356,0.01690988601273196,-0.009107589721679688,-1.1770262718200684,0.05972862243652344,-0.011217117309570312,-0.0050811767578125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.175300121307373,0.05838632583618164,0.006615161895751953,0.006231784820556641,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003406084276978,80,0.8,0.8018536333857842,1786003406117070198,1786003406117434895,0,1213497,1786003406117434895,0,1213498,1786003406117434895,0,1213495,-0.566126823425293,-0.0012464523315429688,-0.7672667503356934,0.007765293121337891,-0.024639129638671875,1.304919719696045,-0.5667018890380859,0.02559804916381836,-0.7300682067871094,-0.030391693115234375,-0.028090476989746094,1.2751994132995605,0.31626176368599074,0.016937935117683448,-0.009107589721679688,-1.177793025970459,0.03499317169189453,-0.01064157485961914,-0.0050811767578125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.1756839752197266,0.03614377975463867,0.006231784820556641,0.006231784820556641,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003406114090321,79,0.79,0.7944452563111081,1786003406141084194,1786003406147434562,0,1213512,1786003406147434562,0,1213513,1786003406147434562,0,1213510,-0.5680441856384277,-0.0012464523315429688,-0.7908515930175781,0.007765293121337891,-0.024639129638671875,1.3229436874389648,-0.5691947937011719,0.02559804916381836,-0.7530779838562012,-0.03058338165283203,-0.027132034301757812,1.2926478385925293,0.3342689770062893,0.01622979418558119,-0.009107589721679688,-1.1762590408325195,0.0369110107421875,-0.011408805847167969,-0.0050811767578125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.1745333671569824,0.03729438781738281,0.007190227508544922,0.006231784820556641,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003406154871476,78,0.78,0.7847212883288979,1786003406187070608,1786003406187434895,0,1213532,1786003406187434895,0,1213533,1786003406187434895,0,1213530,-0.5741796493530273,-0.0012464523315429688,-0.8111767768859863,0.007765293121337891,-0.02444744110107422,1.3457612991333008,-0.5759053230285645,0.02559804916381836,-0.7722525596618652,-0.030775070190429688,-0.025981426239013672,1.3148903846740723,0.34866922429469976,0.0181783787748188,-0.009107589721679688,-1.1729989051818848,0.034801483154296875,-0.012558937072753906,-0.0054645538330078125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.1697392463684082,0.037102699279785156,0.007381916046142578,0.006423473358154297,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003406219629440,77,0.77,0.7742738582407127,1786003406251067877,1786003406251503854,0,1213564,1786003406251503854,0,1213565,1786003406251503854,0,1213562,-0.5822334289550781,-0.0012464523315429688,-0.8420476913452148,0.007190227508544922,-0.024255752563476562,1.3747148513793945,-0.5854930877685547,0.02559804916381836,-0.8046574592590332,-0.031158447265625,-0.02502298355102539,1.3467202186584473,0.3491,0.01826689745065599,-0.009107589721679688,-1.172807216644287,0.005656242370605469,-0.011217117309570312,-0.0054645538330078125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.16878080368042,0.008149147033691406,0.007190227508544922,0.006615161895751953,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003406297298757,76,0.76,0.7648442956604301,1786003406327065468,1786003406329433104,0,1213603,1786003406329433104,0,1213604,1786003406329433104,0,1213601,-0.5893278121948242,-0.0012464523315429688,-0.8796296119689941,0.005656242370605469,-0.024255752563476562,1.410954475402832,-0.5956554412841797,0.02559804916381836,-0.8414721488952637,-0.03269243240356445,-0.024255752563476562,1.3844938278198242,0.3491,0.017898527036091516,-0.009107589721679688,-1.1789436340332031,-0.03058338165283203,-0.011024951934814453,-0.0054645538330078125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.1764507293701172,-0.03269243240356445,0.006998538970947266,0.006423473358154297,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003406378385528,75,0.75,0.7546913925671463,1786003406407058954,1786003406411434895,0,1213644,1786003406411434895,0,1213645,1786003406411434895,0,1213642,-0.5985317230224609,-0.0018215179443359375,-0.9135684967041016,0.0033555030822753906,-0.02502298355102539,1.4471940994262695,-0.6083102226257324,0.025214672088623047,-0.8759865760803223,-0.03518533706665039,-0.024064064025878906,1.4222674369812012,0.3491,0.01789852694624632,-0.009107589721679688,-1.1791353225708008,-0.044005393981933594,-0.011024951934814453,-0.0054645538330078125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.1756839752197266,-0.041129112243652344,0.006998538970947266,0.006423473358154297,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003406449237827,74,0.74,0.7446500935413821,1786003406481107235,1786003406481434020,0,1213679,1786003406481434020,0,1213680,1786003406481434020,0,1213677,-0.6071600914001465,-0.00220489501953125,-0.9432888031005859,0.0020132064819335938,-0.025214672088623047,1.4786405563354492,-0.6198153495788574,0.02502298355102539,-0.9064736366271973,-0.036527156829833984,-0.02329730987548828,1.4562067985534668,0.3491,0.0185420832920723,-0.009107589721679688,-1.177793025970459,-0.05972862243652344,-0.011217117309570312,-0.0054645538330078125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.1737666130065918,-0.05953693389892578,0.006998538970947266,0.006423473358154297,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003406531649429,73,0.73,0.7344207003643841,1786003406561058760,1786003406563434937,0,1213720,1786003406563434937,0,1213721,1786003406563434937,0,1213718,-0.6175146102905273,-0.002780437469482422,-0.9741597175598145,-0.0006709098815917969,-0.025214672088623047,1.5162229537963867,-0.6341958045959473,0.024639129638671875,-0.9369611740112305,-0.039403438568115234,-0.022530078887939453,1.4966645240783691,0.3491,0.018633724012552266,-0.009107589721679688,-1.177793025970459,-0.09194183349609375,-0.011217117309570312,-0.0054645538330078125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.1739583015441895,-0.09290027618408203,0.006806850433349609,0.006423473358154297,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003406614226437,72,0.72,0.7241250125903111,1786003406647041559,1786003406647434937,0,1213762,1786003406647434937,0,1213763,1786003406647434937,0,1213760,-0.6303610801696777,-0.003547191619873047,-1.001387596130371,-0.0025887489318847656,-0.025406360626220703,1.5534210205078125,-0.650111198425293,0.02444744110107422,-0.9638056755065918,-0.04132080078125,-0.021571636199951172,1.5365476608276367,0.3491,0.01863372401109466,-0.009107589721679688,-1.177793025970459,-0.11303377151489258,-0.011217117309570312,-0.0054645538330078125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.1751084327697754,-0.11533451080322266,0.006806850433349609,0.006423473358154297,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
